名称,类型,默认显示,描述
ts_code,str,Y,转债代码
ann_date,str,Y,发行公告日
res_ann_date,str,Y,发行结果公告日
plan_issue_size,float,Y,计划发行总额（元）
issue_size,float,Y,发行总额（元）
issue_price,float,Y,发行价格
issue_type,str,Y,发行方式
issue_cost,float,N,发行费用（元）
onl_code,str,Y,网上申购代码
onl_name,str,Y,网上申购简称
onl_date,str,Y,网上发行日期
onl_size,float,Y,网上发行总额（元）
onl_pch_vol,float,Y,网上发行有效申购数量（张）
onl_pch_num,int,Y,网上发行有效申购户数
onl_pch_excess,float,Y,网上发行超额认购倍数
onl_winning_rate,float,N,网上发行中签率（%）
shd_ration_code,str,Y,老股东配售代码
shd_ration_name,str,Y,老股东配售简称
shd_ration_date,str,Y,老股东配售日
shd_ration_record_date,str,Y,老股东配售股权登记日
shd_ration_pay_date,str,Y,老股东配售缴款日
shd_ration_price,float,Y,老股东配售价格
shd_ration_ratio,float,Y,老股东配售比例
shd_ration_size,float,Y,老股东配售数量（张）
shd_ration_vol,float,N,老股东配售有效申购数量（张）
shd_ration_num,int,N,老股东配售有效申购户数
shd_ration_excess,float,N,老股东配售超额认购倍数
offl_size,float,Y,网下发行总额（元）
offl_deposit,float,N,网下发行定金比例（%）
offl_pch_vol,float,N,网下发行有效申购数量（张）
offl_pch_num,int,N,网下发行有效申购户数
offl_pch_excess,float,N,网下发行超额认购倍数
offl_winning_rate,float,N,网下发行中签率
lead_underwriter,str,N,主承销商
lead_underwriter_vol,float,N,主承销商包销数量（张）
