名称,类型,描述
ts_code,str,TS股票代码
ann_date,str,公告日期
end_date,str,报告期
revenue,float,营业收入(元)
operate_profit,float,营业利润(元)
total_profit,float,利润总额(元)
n_income,float,净利润(元)
total_assets,float,总资产(元)
total_hldr_eqy_exc_min_int,float,股东权益合计(不含少数股东权益)(元)
diluted_eps,float,每股收益(摊薄)(元)
diluted_roe,float,净资产收益率(摊薄)(%)
yoy_net_profit,float,去年同期修正后净利润
bps,float,每股净资产
yoy_sales,float,同比增长率:营业收入
yoy_op,float,同比增长率:营业利润
yoy_tp,float,同比增长率:利润总额
yoy_dedu_np,float,同比增长率:归属母公司股东的净利润
yoy_eps,float,同比增长率:基本每股收益
yoy_roe,float,同比增减:加权平均净资产收益率
growth_assets,float,比年初增长率:总资产
yoy_equity,float,比年初增长率:归属母公司的股东权益
growth_bps,float,比年初增长率:归属于母公司股东的每股净资产
or_last_year,float,去年同期营业收入
op_last_year,float,去年同期营业利润
tp_last_year,float,去年同期利润总额
np_last_year,float,去年同期净利润
eps_last_year,float,去年同期每股收益
open_net_assets,float,期初净资产
open_bps,float,期初每股净资产
perf_summary,str,业绩简要说明
is_audit,int,是否审计： 1是 0否
remark,str,备注
