field,dtype,default,desc
ts_code,str,Y,TS代码
trade_date,str,Y,交易日期
buy_sm_vol,int,Y,小单买入量（手）
buy_sm_amount,float,Y,小单买入金额（万元）
sell_sm_vol,int,Y,小单卖出量（手）
sell_sm_amount,float,Y,小单卖出金额（万元）
buy_md_vol,int,Y,中单买入量（手）
buy_md_amount,float,Y,中单买入金额（万元）
sell_md_vol,int,Y,中单卖出量（手）
sell_md_amount,float,Y,中单卖出金额（万元）
buy_lg_vol,int,Y,大单买入量（手）
buy_lg_amount,float,Y,大单买入金额（万元）
sell_lg_vol,int,Y,大单卖出量（手）
sell_lg_amount,float,Y,大单卖出金额（万元）
buy_elg_vol,int,Y,特大单买入量（手）
buy_elg_amount,float,Y,特大单买入金额（万元）
sell_elg_vol,int,Y,特大单卖出量（手）
sell_elg_amount,float,Y,特大单卖出金额（万元）
net_mf_vol,int,Y,净流入量（手）
net_mf_amount,float,Y,净流入额（万元）
